"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d019627_T002",2,"Zm00001d019627_T002","ABC transporter B family member 28","Other","Zm00001d019627"
"Zm00001d036951_T001",2,"Zm00001d036951_T001"," glutathione transferase19","Other","Zm00001d036951"
"Zm00001d012868_T002",2,"Zm00001d012868_T002","carotene isomerase3","Other","Zm00001d012868"
"Zm00001d024635_T002",2,"Zm00001d024635_T002","Chaperone protein dnaJ A6 chloroplastic",NA,"Zm00001d024635"
"Zm00001d045505_T004",2,"Zm00001d045505_T004","LIMR family protein ",NA,"Zm00001d045505"
"Zm00001d011312_T001",2,"Zm00001d011312_T001","Putative leucine-rich repeat receptor-like protein kinase family protein  ","Other","Zm00001d011312"
"Zm00001d039966_T001",2,"Zm00001d039966_T001","Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein","Other","Zm00001d039966"
"Zm00001d024051_T001",2,"Zm00001d024051_T001","Adenylate kinase 4","Other","Zm00001d024051"
"Zm00001d038085_T002",2,"Zm00001d038085_T002","Protein RETICULATA-RELATED 4 chloroplastic",NA,"Zm00001d038085"
"Zm00001d044903_T026",2,"Zm00001d044903_T026","Kinesin-like protein KCA2",NA,"Zm00001d044903"
"Zm00001d024633_T004",2,"Zm00001d024633_T004","Monodehydroascorbate reductase 5 mitochondrial",NA,"Zm00001d024633"
"Zm00001d042329_T001",2,"Zm00001d042329_T001","Mitochondrial import receptor subunit TOM20-4","Other","Zm00001d042329"
"Zm00001d011103_T001",2,"Zm00001d011103_T001","copper ion binding","Other","Zm00001d011103"
"Zm00001d040294_T001",2,"Zm00001d040294_T001","Sm-like protein LSM4","Other","Zm00001d040294"
"Zm00001d053175_T003",2,"Zm00001d053175_T003","Cytochrome b-c1 complex subunit 6  ",NA,"Zm00001d053175"
"Zm00001d027493_T001",2,"Zm00001d027493_T001"," NADH-ubiquinone oxidoreductase B18 subunit4","Other","Zm00001d027493"
"Zm00001d009774_T001",2,"Zm00001d009774_T001","Nucleoside diphosphate kinase  ","Other","Zm00001d009774"
"Zm00001d032667_T005",2,"Zm00001d032667_T005","Threonine--tRNA ligase mitochondrial 1","Other","Zm00001d032667"
"Zm00001d052473_T001",2,"Zm00001d052473_T001","Protein FLX-like 3","Other","Zm00001d052473"
"Zm00001d003311_T001",2,"Zm00001d003311_T001","Probable 2-oxoglutarate-dependent dioxygenase AOP1","Other","Zm00001d003311"
"Zm00001d027291_T001",2,"Zm00001d027291_T001","extensin-like protein","Other","Zm00001d027291"
"Zm00001d053957_T003",2,"Zm00001d053957_T003","Phosphatidate cytidylyltransferase  ","Other","Zm00001d053957"
"Zm00001d005694_T001",2,"Zm00001d005694_T001"," plastid redox insensitive2","Other","Zm00001d005694"
"Zm00001d010672_T001",2,"Zm00001d010672_T001","Metacaspase type II  ","Other","Zm00001d010672"
"Zm00001d039578_T004",2,"Zm00001d039578_T004","Histidine--tRNA ligase chloroplastic/mitochondrial",NA,"Zm00001d039578"
"Zm00001d004123_T001",2,"Zm00001d004123_T001","Lactoylglutathione lyase  ","Other","Zm00001d004123"
"Zm00001d016411_T001",2,"Zm00001d016411_T001","ADPATP carrier protein 1 chloroplastic","Other","Zm00001d016411"
"Zm00001d010852_T003",2,"Zm00001d010852_T003","Translocase of chloroplast 159 chloroplastic","Other","Zm00001d010852"
"Zm00001d035772_T001",2,"Zm00001d035772_T001","Peroxisomal membrane protein PEX14","Other","Zm00001d035772"
"Zm00001d030019_T004",2,"Zm00001d030019_T004","protein_coding","Other","Zm00001d030019"
"Zm00001d027322_T001",2,"Zm00001d027322_T001","Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1","Other","Zm00001d027322"
"Zm00001d047423_T001",2,"Zm00001d047423_T001","Peptidase C15 pyroglutamyl peptidase I-like","Other","Zm00001d047423"
"Zm00001d029745_T005",2,"Zm00001d029745_T005","Protein CURVATURE THYLAKOID 1B chloroplastic","Other","Zm00001d029745"
"Zm00001d048091_T008",2,"Zm00001d048091_T008","ATP synthase subunit gamma mitochondrial","Other","Zm00001d048091"
"Zm00001d004413_T002",2,"Zm00001d004413_T002","Cysteine synthase  ","Other","Zm00001d004413"
"Zm00001d023534_T001",2,"Zm00001d023534_T001"," 5-formyltetrahydrofolate cyclo-ligase1","Other","Zm00001d023534"
"Zm00001d029809_T001",2,"Zm00001d029809_T001","DUF3783 domain protein","Other","Zm00001d029809"
"Zm00001d031267_T001",2,"Zm00001d031267_T001","Aldolase-type TIM barrel family protein","Other","Zm00001d031267"
"Zm00001d046442_T001",2,"Zm00001d046442_T001","SOUL heme-binding family protein","Other","Zm00001d046442"
"Zm00001d049557_T001",2,"Zm00001d049557_T001","SnRNP core Sm protein Sm-X5-like protein  ","Other","Zm00001d049557"
"Zm00001d053301_T001",2,"Zm00001d053301_T001","adrenodoxin oxidoreductase mitochondrial","Other","Zm00001d053301"
"Zm00001d045261_T006",2,"Zm00001d045261_T006","Starch synthase I  ","Other","Zm00001d045261"
"Zm00001d015134_T001",2,"Zm00001d015134_T001","Probable ATP synthase 24 kDa subunit mitochondrial","Other","Zm00001d015134"
"Zm00001d003969_T001",2,"Zm00001d003969_T001","Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase mitochondrial","Other","Zm00001d003969"
"Zm00001d033753_T001",2,"Zm00001d033753_T001","NADH dehydrogenase [ubiquinone] iron-sulfur protein 1 mitochondrial","Other","Zm00001d033753"
"Zm00001d044459_T001",2,"Zm00001d044459_T001","Cytochrome c oxidase polypeptide Vb  ","Other","Zm00001d044459"
"Zm00001d019439_T001",2,"Zm00001d019439_T001","Dehydrogenase/reductase SDR family member 2  ","Other","Zm00001d019439"
"Zm00001d022060_T001",2,"Zm00001d022060_T001","NAD(P)-binding Rossmann-fold superfamily protein","Other","Zm00001d022060"
"Zm00001d031349_T001",2,"Zm00001d031349_T001","Serine--glyoxylate aminotransferase","Other","Zm00001d031349"
"Zm00001d019644_T003",2,"Zm00001d019644_T003","Protein TRIGALACTOSYLDIACYLGLYCEROL 3 chloroplastic",NA,"Zm00001d019644"
"Zm00001d034424_T003",2,"Zm00001d034424_T003","Folate-biopterin transporter 1 chloroplastic",NA,"Zm00001d034424"
"Zm00001d025203_T001",2,"Zm00001d025203_T001","Minichromosome maintenance (MCM2/3/5) family protein","Other","Zm00001d025203"
"Zm00001d004417_T001",2,"Zm00001d004417_T001","Peptidase S24/S26A/S26B/S26C family protein","Other","Zm00001d004417"
"Zm00001d051796_T006",2,"Zm00001d051796_T006","SET domain containing protein  ","Other","Zm00001d051796"
"Zm00001d040720_T001",2,"Zm00001d040720_T001","Polyketide cyclase/dehydrase and lipid transport superfamily protein","Other","Zm00001d040720"
"Zm00001d018529_T001",2,"Zm00001d018529_T001","protein_coding","Other","Zm00001d018529"
"Zm00001d049597_T001",2,"Zm00001d049597_T001","External alternative NAD(P)H-ubiquinone oxidoreductase B4 mitochondrial","Other","Zm00001d049597"
"Zm00001d040670_T004",2,"Zm00001d040670_T004","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex mitochondrial","Other","Zm00001d040670"
"Zm00001d008394_T001",2,"Zm00001d008394_T001","Thylakoid lumenal 17.9 kDa protein chloroplastic","Other","Zm00001d008394"
"Zm00001d007366_T003",2,"Zm00001d007366_T003","Haloacid dehalogenase-like hydrolase domain-containing protein ","Other","Zm00001d007366"
"Zm00001d043511_T001",2,"Zm00001d043511_T001"," hexokinase5","Other","Zm00001d043511"
"Zm00001d033328_T001",2,"Zm00001d033328_T001","N-acetyl-gamma-glutamyl-phosphate reductase  ","Other","Zm00001d033328"
"Zm00001d037059_T004",2,"Zm00001d037059_T004","Alpha-glucan water dikinase 1 chloroplastic","Other","Zm00001d037059"
"Zm00001d024493_T002",2,"Zm00001d024493_T002","Valine--tRNA ligase mitochondrial 1","Other","Zm00001d024493"
"ZeamMp036.1",2,"ZeamMp036.1","nad9","Other","ZeamMp036.1"
"Zm00001d015138_T004",2,"Zm00001d015138_T004","protein_coding","Other","Zm00001d015138"
"Zm00001d046855_T001",2,"Zm00001d046855_T001","GDP-L-fucose synthase 1  ","Other","Zm00001d046855"
"Zm00001d020237_T001",2,"Zm00001d020237_T001","Metallo-hydrolase/oxidoreductase superfamily protein","Other","Zm00001d020237"
"Zm00001d022531_T001",2,"Zm00001d022531_T001","Triphosphate tunel metalloenzyme 3","Other","Zm00001d022531"
"Zm00001d013424_T001",2,"Zm00001d013424_T001","NADH dehydrogenase [ubiquinone] iron-sulfur protein 1 mitochondrial","Other","Zm00001d013424"
"Zm00001d053925_T001",2,"Zm00001d053925_T001","protein_coding","Other","Zm00001d053925"
"Zm00001d053342_T003",2,"Zm00001d053342_T003","DUF3119 family protein","Other","Zm00001d053342"
"Zm00001d037748_T001",2,"Zm00001d037748_T001","Thioredoxin-like 2-2 chloroplastic","Other","Zm00001d037748"
"Zm00001d034356_T001",2,"Zm00001d034356_T001","glutathione transferase5","Other","Zm00001d034356"
"Zm00001d017966_T001",2,"Zm00001d017966_T001","Dihydropyrimidine dehydrogenase (NADP(+)) chloroplastic","Other","Zm00001d017966"
"Zm00001d034757_T008",2,"Zm00001d034757_T008","Electron transfer flavoprotein subunit alpha mitochondrial","Other","Zm00001d034757"
"Zm00001d040221_T002",2,"Zm00001d040221_T002","Peptidase family M48 family protein","Other","Zm00001d040221"
"Zm00001d019177_T001",2,"Zm00001d019177_T001","Chloroplast stem-loop binding protein of 41 kDa a chloroplastic","Other","Zm00001d019177"
"Zm00001d035475_T001",2,"Zm00001d035475_T001","Isovaleryl-CoA dehydrogenase mitochondrial","Other","Zm00001d035475"
"Zm00001d034586_T001",2,"Zm00001d034586_T001","Nudix hydrolase 16 mitochondrial","Other","Zm00001d034586"
"Zm00001d032045_T001",2,"Zm00001d032045_T001","Probable 6-phosphogluconolactonase 5 chloroplastic","Other","Zm00001d032045"
"Zm00001d008619_T001",2,"Zm00001d008619_T001"," triose phosphate isomerase3","Other","Zm00001d008619"
"Zm00001d032422_T004",2,"Zm00001d032422_T004","Dormancy-associated protein 1","Other","Zm00001d032422"
"Zm00001d018810_T001",2,"Zm00001d018810_T001"," glycolate oxidase1","Other","Zm00001d018810"
"Zm00001d018487_T001",2,"Zm00001d018487_T001","3-ketoacyl-CoA thiolase 2 peroxisomal","Other","Zm00001d018487"
"Zm00001d053978_T001",2,"Zm00001d053978_T001","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d053978"
"Zm00001d012707_T002",2,"Zm00001d012707_T002","Bifunctional riboflavin kinase/FMN phosphatase",NA,"Zm00001d012707"
"Zm00001d020343_T001",2,"Zm00001d020343_T001","Probable acyl-activating enzyme 17 peroxisomal","Other","Zm00001d020343"
"Zm00001d037651_T001",2,"Zm00001d037651_T001","Subtilisin-like serine endopeptidase family protein","Other","Zm00001d037651"
"Zm00001d047418_T001",2,"Zm00001d047418_T001","Cytochrome P450 709B2",NA,"Zm00001d047418"
"Zm00001d035595_T001",2,"Zm00001d035595_T001"," dehydroascorbate reductase like3","Other","Zm00001d035595"
"Zm00001d015431_T001",2,"Zm00001d015431_T001","Fiber protein Fb15  ","Other","Zm00001d015431"
"Zm00001d003166_T004",2,"Zm00001d003166_T004","LETM1-like protein",NA,"Zm00001d003166"
"Zm00001d035032_T004",2,"Zm00001d035032_T004","GroES-like zinc-binding alcohol dehydrogenase family protein",NA,"Zm00001d035032"
"Zm00001d013019_T012",2,"Zm00001d013019_T012","Mitochondrial Rho GTPase  ",NA,"Zm00001d013019"
"Zm00001d012378_T001",2,"Zm00001d012378_T001","SOUL heme-binding family protein","Other","Zm00001d012378"
"Zm00001d044533_T001",2,"Zm00001d044533_T001","Vacuolar cation/proton exchanger 3","Other","Zm00001d044533"
"Zm00001d029652_T001",2,"Zm00001d029652_T001","5-oxoprolinase","Other","Zm00001d029652"
"Zm00001d025619_T001",2,"Zm00001d025619_T001"," prohibitin2","Other","Zm00001d025619"
"Zm00001d002147_T002",2,"Zm00001d002147_T002","protein_coding","Other","Zm00001d002147"
"Zm00001d025509_T001",2,"Zm00001d025509_T001","RmlC-like cupins superfamily protein","Other","Zm00001d025509"
"Zm00001d043650_T001",2,"Zm00001d043650_T001","Tryptophan aminotransferase-related protein 4","Other","Zm00001d043650"
"Zm00001d045153_T002",2,"Zm00001d045153_T002","Cystathionine beta-lyase chloroplastic","Other","Zm00001d045153"
"Zm00001d002454_T001",2,"Zm00001d002454_T001","Phosphoribulokinase  ","Other","Zm00001d002454"
"Zm00001d024301_T002",2,"Zm00001d024301_T002","AICARFT/IMPCHase bienzyme family protein",NA,"Zm00001d024301"
"Zm00001d022112_T001",2,"Zm00001d022112_T001","Stress-response A/B barrel domain-containing protein UP3","Other","Zm00001d022112"
"Zm00001d051854_T001",2,"Zm00001d051854_T001","Putative integral membrane protein conserved region (DUF2404)","Other","Zm00001d051854"
"Zm00001d043445_T001",2,"Zm00001d043445_T001","Dihydroorotase  ","Other","Zm00001d043445"
"Zm00001d021122_T001",2,"Zm00001d021122_T001","cobalt ion binding","Other","Zm00001d021122"
"Zm00001d011278_T001",2,"Zm00001d011278_T001","Mitochondrial ATP synthase subunit G protein","Other","Zm00001d011278"
"Zm00001d045479_T001",2,"Zm00001d045479_T001"," 1-aminocyclopropane-1-carboxylate synthase3","Ethylene Biosynthesis","Zm00001d045479"
"Zm00001d017847_T001",2,"Zm00001d017847_T001","Outer envelope pore protein 16-3 chloroplastic/mitochondrial","Other","Zm00001d017847"
"Zm00001d005306_T001",2,"Zm00001d005306_T001","Dynamin-related protein 1E",NA,"Zm00001d005306"
"Zm00001d023652_T001",2,"Zm00001d023652_T001","Putative oxidoreductase%2C aldo/keto reductase family protein  ","Other","Zm00001d023652"
"Zm00001d032197_T001",2,"Zm00001d032197_T001","Chlorophyll a-b binding protein 4 chloroplastic","Other","Zm00001d032197"
"Zm00001d050403_T001",2,"Zm00001d050403_T001","Chlorophyll a-b binding protein 4  ","PhANGs","Zm00001d050403"
"Zm00001d023904_T002",2,"Zm00001d023904_T002","Auxin-binding protein 4  ",NA,"Zm00001d023904"
"Zm00001d000417_T001",2,"Zm00001d000417_T001","Photosystem Q(B) protein  ","PhANGs","Zm00001d000417"
"Zm00001d006377_T001",2,"Zm00001d006377_T001","Asparagine--tRNA ligase chloroplastic/mitochondrial","Other","Zm00001d006377"
"Zm00001d003534_T001",2,"Zm00001d003534_T001","Pentatricopeptide repeat-containing protein ","Other","Zm00001d003534"
"Zm00001d027276_T001",2,"Zm00001d027276_T001","GroES-like zinc-binding alcohol dehydrogenase family protein","Other","Zm00001d027276"
"Zm00001d043019_T005",2,"Zm00001d043019_T005","Laccase-13",NA,"Zm00001d043019"
"Zm00001d029889_T005",2,"Zm00001d029889_T005","G2484-1 protein",NA,"Zm00001d029889"
"Zm00001d032687_T001",2,"Zm00001d032687_T001","Protein Transporter Pam16","Other","Zm00001d032687"
"Zm00001d037982_T007",2,"Zm00001d037982_T007","AMP deaminase",NA,"Zm00001d037982"
"Zm00001d007940_T001",2,"Zm00001d007940_T001","Eukaryotic translation initiation factor 5A-1","Other","Zm00001d007940"
"Zm00001d031951_T001",2,"Zm00001d031951_T001","Thioredoxin family protein","Other","Zm00001d031951"
"Zm00001d045570_T001",2,"Zm00001d045570_T001","Glycerolphosphate mutase  ","Other","Zm00001d045570"
"Zm00001d032815_T011",2,"Zm00001d032815_T011","glutamate-ammonia ligases;catalytics;glutamate-ammonia ligases","Other","Zm00001d032815"
"Zm00001d006834_T002",2,"Zm00001d006834_T002","protein_coding",NA,"Zm00001d006834"
"Zm00001d027749_T001",2,"Zm00001d027749_T001","Sulfate transporter 3.1","Other","Zm00001d027749"
"Zm00001d052801_T004",2,"Zm00001d052801_T004","Copper-transporting ATPase PAA1 chloroplastic",NA,"Zm00001d052801"
"Zm00001d017171_T001",2,"Zm00001d017171_T001","Outer envelope pore protein 37 chloroplastic","Other","Zm00001d017171"
"Zm00001d048116_T001",2,"Zm00001d048116_T001","protein_coding","Other","Zm00001d048116"
"Zm00001d027850_T001",2,"Zm00001d027850_T001","P-loop containing nucleoside triphosphate hydrolases superfamily protein","Other","Zm00001d027850"
"Zm00001d034832_T006",2,"Zm00001d034832_T006","Probable acyl-activating enzyme 16 chloroplastic","Other","Zm00001d034832"
"Zm00001d036046_T001",2,"Zm00001d036046_T001","Magnesium protoporphyrin IX methyltransferase chloroplastic","Other","Zm00001d036046"
"Zm00001d018821_T001",2,"Zm00001d018821_T001","RNA-binding protein CP33 chloroplastic","Other","Zm00001d018821"
"Zm00001d023429_T001",2,"Zm00001d023429_T001","Diaminopimelate decarboxylase 2 chloroplastic","Other","Zm00001d023429"
"Zm00001d053807_T001",2,"Zm00001d053807_T001","Porphobilinogen deaminase chloroplastic","Other","Zm00001d053807"
"Zm00001d049619_T003",2,"Zm00001d049619_T003","60S acidic ribosomal protein P0-2","Cytosolic ribosome","Zm00001d049619"
"Zm00001d043680_T001",2,"Zm00001d043680_T001","Phospholipase A1-IIdelta","Other","Zm00001d043680"
"Zm00001d049500_T002",2,"Zm00001d049500_T002","40S ribosomal protein S3-1","Cytosolic ribosome","Zm00001d049500"
"Zm00001d010456_T002",2,"Zm00001d010456_T002","protein_coding","Other","Zm00001d010456"
"Zm00001d021719_T001",2,"Zm00001d021719_T001","Probable proteasome inhibitor","Other","Zm00001d021719"
"Zm00001d022111_T001",2,"Zm00001d022111_T001","40S ribosomal protein S3-1","Cytosolic ribosome","Zm00001d022111"
"Zm00001d038365_T001",2,"Zm00001d038365_T001","Aldo-keto reductase family 4 member C9",NA,"Zm00001d038365"
"Zm00001d039612_T032",2,"Zm00001d039612_T032","embryo defective 2410",NA,"Zm00001d039612"
"Zm00001d020737_T001",2,"Zm00001d020737_T001","Probable carboxylesterase 2","Other","Zm00001d020737"
"Zm00001d036835_T002",2,"Zm00001d036835_T002","Peroxidase 67",NA,"Zm00001d036835"
"Zm00001d052792_T001",2,"Zm00001d052792_T001","Putative O-Glycosyl hydrolase superfamily protein  ","Other","Zm00001d052792"
"Zm00001d029087_T003",2,"Zm00001d029087_T003","Sucrose synthase 3",NA,"Zm00001d029087"
"Zm00001d015008_T001",2,"Zm00001d015008_T001","UTP--glucose-1-phosphate uridylyltransferase 1","Other","Zm00001d015008"
"Zm00001d018220_T001",2,"Zm00001d018220_T001"," glutathione transferase24","Other","Zm00001d018220"
"Zm00001d003006_T001",2,"Zm00001d003006_T001","Aquaporin PIP2-5  ","Other","Zm00001d003006"
"Zm00001d029723_T001",2,"Zm00001d029723_T001","Mu-crystallin  ","Other","Zm00001d029723"
"Zm00001d046754_T001",2,"Zm00001d046754_T001","protein_coding",NA,"Zm00001d046754"
"Zm00001d031892_T001",2,"Zm00001d031892_T001","Calcium-dependent lipid-binding (CaLB domain) family protein","Other","Zm00001d031892"
"Zm00001d041979_T001",2,"Zm00001d041979_T001","Chloroplast outer envelope 24 kD protein  ","Other","Zm00001d041979"
"Zm00001d037777_T002",2,"Zm00001d037777_T002","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d037777"
"Zm00001d006688_T001",2,"Zm00001d006688_T001","Putative polyol transporter 1","Other","Zm00001d006688"
"Zm00001d045893_T001",2,"Zm00001d045893_T001","Retrovirus-related Pol polyprotein LINE-1","Other","Zm00001d045893"
"Zm00001d023863_T001",2,"Zm00001d023863_T001","Riboflavin synthase alpha chain  ",NA,"Zm00001d023863"
"Zm00001d048155_T002",2,"Zm00001d048155_T002","ADP-ribosylation factor-like A1C",NA,"Zm00001d048155"
"Zm00001d029290_T001",2,"Zm00001d029290_T001","Cytochrome P450 CYP709H1  ","Other","Zm00001d029290"
"Zm00001d006309_T007",2,"Zm00001d006309_T007","UTP--glucose-1-phosphate uridylyltransferase 1","Other","Zm00001d006309"
"Zm00001d053652_T001",2,"Zm00001d053652_T001","Peptidyl-prolyl cis-trans isomerase  ","Other","Zm00001d053652"
"Zm00001d034538_T001",2,"Zm00001d034538_T001","Rubredoxin-like superfamily protein","Other","Zm00001d034538"
"Zm00001d023792_T005",2,"Zm00001d023792_T005","Phosphoglucan water dikinase chloroplastic",NA,"Zm00001d023792"
"Zm00001d038155_T001",2,"Zm00001d038155_T001","protein_coding","Other","Zm00001d038155"
"Zm00001d035081_T001",2,"Zm00001d035081_T001","Beta-carotene isomerase D27 chloroplastic","Other","Zm00001d035081"
"Zm00001d026154_T001",2,"Zm00001d026154_T001","Glutathione peroxidase  ","Other","Zm00001d026154"
"Zm00001d023892_T002",2,"Zm00001d023892_T002"," shikimate dehydrogenase1",NA,"Zm00001d023892"
"Zm00001d044008_T002",2,"Zm00001d044008_T002","Myosin heavy chain-like;  protein",NA,"Zm00001d044008"
"Zm00001d028704_T001",2,"Zm00001d028704_T001","Thioredoxin-like protein AAED1 chloroplastic","Other","Zm00001d028704"
"Zm00001d035377_T001",2,"Zm00001d035377_T001","IQ domain-containing protein IQM3","Other","Zm00001d035377"
"Zm00001d002351_T001",2,"Zm00001d002351_T001"," terpene synthase1","Other","Zm00001d002351"
